Number,Category,Authors,Year,Title,Journal,Volume_Issue,Pages,DOI,URL,Paper_Sections,Key_Passages
1,HNDL and Quantum Threat,"Beckett, P.",2025,"Harvest-Now, Decrypt-Later: A Temporal Cybersecurity Risk in the Quantum Transition",Telecom (MDPI),6(4),100,10.3390/telecom6040100,https://www.mdpi.com/2673-4001/6/4/100,Introduction (paragraph 1-2); Related Work 2.2; Discussion 5.1,"Section 1.1 (Introduction): 'Telecommunication infrastructures rely on cryptographic protocols designed for long-term confidentiality, yet data exchanged today faces future exposure when adversaries acquire quantum or large-scale computational capabilities. This harvest-now, decrypt-later (HNDL) threat transforms persistent communication records into time-dependent vulnerabilities.' -- USE IN: Introduction, paragraph 2, to define HNDL formally. | Section 3 (Results): 'Results show that high-retention sectors such as satellite and health networks face exposure windows extending decades under delayed PQC adoption, while hybrid and forward-secure approaches reduce this risk horizon by over two-thirds.' -- USE IN: Discussion 5.1 to compare sector exposure with your HNDL Score findings. | Section 2 (Related Work): 'Empirical studies now attempt to quantify this temporal exposure... a unified and formally defined threat model of the HNDL adversary remains absent.' -- USE IN: Related Work 2.2, to justify the gap your paper fills."
2,HNDL and Quantum Threat,"Mascelli, J.; Rodden, M.",2025,Harvest Now Decrypt Later: Examining Post-Quantum Cryptography and the Data Privacy Risks for Distributed Ledger Networks,Federal Reserve FEDS Working Paper,2025-093,,10.17016/FEDS.2025.093,https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm,Introduction (paragraph 1); Related Work 2.2; Discussion 5.1,"Abstract: 'We analyze the risks posed by future-state quantum computers, specifically the harvest now decrypt later (HNDL) risk... data privacy of previously recorded transactions remains vulnerable '  -- USE IN: Introduction paragraph 1, as authoritative government source confirming HNDL is active. | Body: 'a bad actor can obtain a distributed ledger replica, harvest the data, and in the fullness of time reveal previously obfuscated information.' -- USE IN: Related Work 2.2, to support the blockchain-specific HNDL exposure argument. | Policy section: 'even if Q-Day does not occur for two decades or longer, a distributed ledger network relying on decentralized governance may need years for planning, testing, and deploying PQC.' -- USE IN: Discussion 5.1, to contextualize the 11% CAGR finding in terms of migration urgency."
3,HNDL and Quantum Threat,"Jena, J.",2025,The Quantum Security Deadline: Building Crypto-Agility Against Harvest Now Decrypt Later Threats,European Journal of Computer Science and Information Technology,13(5),35-52,,https://eajournals.org/ejcsit/wp-content/uploads/sites/21/2025/10/The-Quantum-Security-Deadline.pdf,Introduction (paragraph 2); Related Work 2.2; Discussion 5.2 (Limitations),"Abstract: 'The threat from Cryptographically Relevant Quantum Computers (CRQCs) has evolved from a distant hypothesis into an urgent security reality... the true deadline for PQC migration is now, driven by the HNDL threat model.' -- USE IN: Introduction paragraph 2, to strengthen urgency argument. | Body: 'Intelligence reports and cybersecurity analyses indicate that nation-state actors are already conducting HNDL campaigns, collecting encrypted internet traffic and secure communications for future exploitation (CISA 2024; The Quantum Insider 2025).' -- USE IN: Introduction paragraph 1, as evidence that HNDL collection is currently active. | Body: 'NIST finalized three post-quantum cryptographic standards in August 2024 (FIPS 203/204/205) and mandates deprecation of quantum-vulnerable algorithms by 2035. Yet only 5% of organizations have implemented quantum-safe encryption.' -- USE IN: Introduction paragraph 2, to establish the implementation gap."
4,HNDL and Quantum Threat,[Multiple authors — see URL],2025,Analyzing the Harvest Now Decrypt Later Threat and Post-Quantum Cryptography Solutions: A Systematic Literature Review,ResearchGate Preprint,,,10.13140/RG.2.2.24648.09289,https://www.researchgate.net/publication/393404982,Related Work 2.2; Conclusion,"Abstract: 'The HNDL threat makes the transition to Post-Quantum Cryptography an urgent necessity. The NIST standardization process has provided a strong foundation, where lattice-based cryptography stands out for general-purpose applications.' -- USE IN: Related Work 2.2, as a recent systematic review to position your empirical study. | Body: 'The path to a fully quantum-safe ecosystem is impeded by significant practical challenges, primarily the performance and data size overhead of PQC algorithms and the complexity of integrating them into existing systems.' -- USE IN: Discussion 5.1, to contrast your vulnerability-level findings with algorithm-level research. | Conclusion: 'Beyond the technical details, the HNDL threat model emphasizes the importance of PQC transition in the current time.' -- USE IN: Conclusion, as a closing supporting citation."
5,Quantum Risk Framework,"Mosca, M.",2018,Cybersecurity in an Era with Quantum Computers: Will We Be Ready?,IEEE Security & Privacy,16(5),38-41,10.1109/MSP.2018.3761723,https://ieeexplore.ieee.org/document/8490169,Introduction (paragraph 1); Related Work 2.1 and 2.2; Discussion 5.1,"Core argument (p.38): 'Assessment is based on three quantities: the security shelf life of the information assets [x], the migration time to quantum-safe systems [y], and the time remaining before quantum computers break the security [z]. If x + y > z, then you have a problem.' -- USE IN: Related Work 2.1, as the foundational timeline framework (Mosca's inequality). | p.38: 'Organizations must understand their specific risks and plan for their systems to be resilient to quantum attacks.' -- USE IN: Introduction paragraph 1, as the canonical reference for quantum urgency. | Implication: Mosca's model is theoretical with no CVE-level empirical validation. -- USE IN: Related Work 2.3 gap statement — 'Unlike Mosca (2018) whose framework remains timeline-based, our study provides CVE-level empirical evidence.'"
6,Quantum Risk Framework,"Grigaliūnas, Š.; Brūzgienė, R.",2025,Towards a Unified Quantum Risk Assessment (QARS Model),Electronics (MDPI),14(17),3338,10.3390/electronics14173338,https://www.mdpi.com/2079-9292/14/17/3338,Related Work 2.3 (most important citation); Methodology 3.3; Discussion 5.3,"Abstract: 'QARS extends Mosca's inequality into a multi-factor risk scoring formula incorporating timeline, sensitivity, and exposure dimensions, each calibrated by factor weights and scaling functions.' -- USE IN: Related Work 2.3, as the closest prior work to QRI — distinguish your approach: 'Unlike QARS, which is calibrated theoretically, QRI is validated empirically against CISA KEV data.' | Methods: 'We present a method for model calibration including sector-specific weight adjustments and outline validation strategies combining quantitative analysis and expert judgement.' -- USE IN: Methodology 3.3, note that QARS uses expert judgement while QRI uses exploit data. | Body: 'The proposed QARS model is situated in the context of the EU coordinated roadmap for post-quantum cryptography, illustrating how QARS supports compliance and strategic migration prioritisation.' -- USE IN: Discussion 5.1, to connect your empirical findings to policy compliance frameworks."
7,Quantum Risk Framework,"Baseri, Y.; Hafid, A.; Shahsavari, Y.; Makrakis, D.; Khodaiemehr, H.",2025,"Blockchain Security Risk Assessment in Quantum Era, Migration Strategies and Proactive Defense",IEEE Communications Surveys & Tutorials,,,10.1109/COMST.2025.3621113,https://arxiv.org/abs/2501.11798,Introduction (paragraph 3); Related Work 2.2 and 2.3; Discussion 5.1,"Abstract: 'This paper conducts a comprehensive risk assessment of quantum vulnerabilities across critical blockchain components, including consensus mechanisms, smart contracts, and digital wallets... leveraging the STRIDE threat modeling framework.' -- USE IN: Related Work 2.3, as prior blockchain-specific quantum risk work — note it uses STRIDE qualitative approach while yours is quantitative NVD-based. | Body: 'Quantum algorithms such as Shor's directly threaten public-key cryptography, including RSA, DSA, and ECDSA... when quantum computers reach sufficient scale, previously secure blockchain transactions will become retroactively vulnerable.' -- USE IN: Introduction paragraph 3, to motivate blockchain-specific HNDL exposure. | Policy section: 'Proactive defense strategies combining quantum-resistant cryptography with hybrid security models are needed to mitigate emerging threats before quantum computers reach critical capability thresholds.' -- USE IN: Discussion 5.1, as supporting argument for early QRI-based prioritization."
8,Quantum Risk Framework,"Baseri, Y.; Hafid, A.; Lashkari, A.H.",2025,"Securing Cloud Computing Against Quantum Threats: Risk Assessment, Transition and Migration Strategies",arXiv Preprint,,,10.48550/arXiv.2509.15653,https://arxiv.org/abs/2509.15653,Related Work 2.3; Discussion 5.1,"Abstract: 'This survey provides comprehensive analysis of quantum-safe cloud security, examining vulnerabilities, transition strategies, and layer-specific countermeasures across nine architectural layers... We employ STRIDE-based risk assessment aligned with NIST SP 800-30.' -- USE IN: Related Work 2.3, to note that existing frameworks (STRIDE-based) are architecture-level, while QRI operates at CVE level — a finer granularity. | Body: 'The pre-transition phase covers classical cryptography vulnerabilities, the hybrid phase covers migration risks, and the post-transition phase covers PQC implementation weaknesses.' -- USE IN: Discussion 5.1, to place your longitudinal findings (2016–2026) within this framework: your data shows the pre-transition phase is still expanding."
9,Vulnerability Scoring Empirical,"Jacobs, J.; Romanosky, S.; Edwards, B.; Adjerid, I.; Roytman, M.",2021,Exploit Prediction Scoring System (EPSS),Digital Threats: Research and Practice,2(3),Article 20,10.1145/3436242,https://dl.acm.org/doi/10.1145/3436242,Related Work 2.3; Methodology 3.4 (statistical methods); Discussion 5.3,"Abstract: 'This paper describes the first open, data-driven framework for assessing vulnerability threat — the probability that a vulnerability will be exploited in the wild within the first 12 months after public disclosure. The system provides accurate estimates (ROC AUC = 0.838).' -- USE IN: Related Work 2.3, as the leading prior exploit-prediction model — QRI differs by adding quantum and HNDL dimensions rather than temporal exploitation probability. | Results table: 'EPSS reduces the level of effort by 85% compared to patching all CVSS 10 '  -- USE IN: Discussion 5.3, to compare with your AUC result (0.736) — explain that QRI is a risk quantification tool, not a binary classifier like EPSS. | Methodology: 'The prioritization of remediation efforts predominantly relies on a mixture of subjective expert opinion and severity scores.' -- USE IN: Introduction paragraph 2, to motivate composite scoring beyond CVSS alone."
10,Vulnerability Scoring Empirical,"Allodi, L.",2015,The Heavy Tails of Vulnerability Exploitation,Proc. ESSoS 2015 — Lecture Notes in Computer Science,8978,145-160,10.1007/978-3-319-15618-7_11,https://link.springer.com/chapter/10.1007/978-3-319-15618-7_11,Related Work 2.3; Discussion 5.3,"Core finding: 'The vast majority of attacks recorded in the wild are driven by only a small fraction of known vulnerabilities — the distribution of exploitation follows heavy tails.' -- USE IN: Related Work 2.3, as foundational evidence that attacker targeting is non-uniform; your H2 result (KEV CVEs at 90th percentile QRI) is consistent with this. | Discussion: 'Attack tools actively used by attackers embed only a handful of exploits, and the most dangerous vulnerabilities are a small concentrated subset of all known CVEs.' -- USE IN: Discussion 5.3, to contextualize the 47.3% of KEV CVEs above 90th percentile QRI: attackers focus on the tail, and QRI captures it."
11,Vulnerability Scoring Empirical,"Allodi, L.; Massacci, F.",2017,Security Events and Vulnerability Data for Cybersecurity Risk Estimation,Risk Analysis,37(8),1606-1627,10.1111/risa.12864,https://onlinelibrary.wiley.com/doi/10.1111/risa.12864,Methodology 3.4; Discussion 5.3,"Abstract: 'Using case-control study design applied to NVD vulnerability data and observed security events, we show that CVSS severity scores are poor predictors of exploitation likelihood, and that combining exploit and vulnerability data significantly improves risk estimation.' -- USE IN: Methodology 3.4, as methodological precedent for using NVD+exploit cross-reference. | Findings: 'The combination of severity metrics with threat intelligence dramatically outperforms CVSS alone for predicting which vulnerabilities will be exploited.' -- USE IN: Discussion 5.3, to justify why QRI (CVSS + QF + HS) outperforms CVSS alone in mean-difference terms (+27.2%) despite similar AUC."
12,PQC Standards and Policy,NIST,2024,FIPS 203: Module-Lattice-Based Key-Encapsulation Mechanism Standard,NIST Federal Information Processing Standard,203,,10.6028/NIST.FIPS.203,https://csrc.nist.gov/pubs/fips/203/final,Introduction (paragraph 2),"Cover page: 'This standard specifies ML-KEM, a key-encapsulation mechanism whose security is based on the hardness of problems in module lattices... designed to resist attacks by future cryptographically relevant quantum computers.' -- USE IN: Introduction paragraph 2, as citation for 'NIST finalized PQC standards in August 2024'. | Section 1: 'Organizations are encouraged to transition to these standards as soon as feasible.' -- USE IN: Introduction paragraph 2, to support urgency of PQC migration."
13,PQC Standards and Policy,NIST,2024,FIPS 204: Module-Lattice-Based Digital Signature Standard,NIST Federal Information Processing Standard,204,,10.6028/NIST.FIPS.204,https://csrc.nist.gov/pubs/fips/204/final,Introduction (paragraph 2),"Cover page: 'This standard specifies ML-DSA, a digital signature algorithm whose security is based on the hardness of finding short vectors in module lattices.' -- USE IN: Introduction paragraph 2, as joint citation with FIPS 203 for NIST PQC standardization. | Background: 'ML-DSA is intended to replace ECDSA and other classical signature schemes that are vulnerable to quantum attacks via Shor's algorithm.' -- USE IN: Methodology 3.3, as justification for QF=1.5 assignment to ECDSA vulnerabilities."
14,PQC Standards and Policy,NIST,2024,Transition to Post-Quantum Cryptography Standards — NIST IR 8547,NIST Internal Report,8547,,10.6028/NIST.IR.8547.ipd,https://doi.org/10.6028/NIST.IR.8547.ipd,Introduction (paragraph 2); Discussion 5.1,"Executive Summary: 'NIST projects 5–10 year adoption cycles for critical infrastructure, with early adopters in financial services and government sectors transitioning by 2027–2030.' -- USE IN: Discussion 5.1, to compare with your CAGR findings: at 11% annual growth, the number of unmitigated vulnerabilities doubles in 6.6 years — within the migration window. | Section 3: 'Organizations should deprecate use of algorithms based on integer factorization '  -- USE IN: Methodology 3.3, as policy justification for QF=1.5 for RSA and ECDSA."
15,PQC Standards and Policy,NSA,2022,Commercial National Security Algorithm Suite 2.0 (CNSA 2.0),NSA Cybersecurity Advisory,2.0,,,https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,Introduction (paragraph 2); Discussion 5.1,"Page 1: 'NSA mandates PQC deployment for newly acquired or developed NSS cryptographic capabilities '  -- USE IN: Introduction paragraph 2, as evidence of government mandate for PQC transition. | Timeline table: 'By 2027: new systems must use approved PQC algorithms. By 2035: full transition '  -- USE IN: Discussion 5.1, to frame the urgency: your CAGR=11% implies attack surface doubles before 2035 deadline without proactive mitigation."
16,Quantum Cryptography Fundamentals,"Shor, P.W.",1994,Algorithms for Quantum Computation: Discrete Logarithms and Factoring,Proc. 35th Annual Symposium on Foundations of Computer Science (FOCS),,124-134,10.1109/SFCS.1994.365700,https://ieeexplore.ieee.org/document/365700,Methodology 3.3 (QF definition); Introduction paragraph 1,"Abstract: 'There are efficient randomized algorithms for the number-theoretic problems of finding '  -- USE IN: Methodology 3.3, as the primary citation when assigning QF=1.5 to ECDSA and RSA. Exact text to use in paper: 'QF=1.5 is assigned to asymmetric schemes susceptible to Shor's algorithm [Shor 1994], which solves integer factorization and discrete logarithm in polynomial time on a quantum processor.' | Core result: polynomial-time factoring of integers and discrete logarithms on quantum hardware. -- USE IN: Introduction paragraph 1, sentence: 'Shor's algorithm [16] solves both in poly time.'"
17,Quantum Cryptography Fundamentals,"Grover, L.K.",1996,A Fast Quantum Mechanical Algorithm for Database Search,Proc. 28th ACM Symposium on Theory of Computing (STOC),,212-219,10.1145/237814.237866,https://dl.acm.org/doi/10.1145/237814.237866,Methodology 3.3 (QF definition),"Core result: quadratic speedup for unstructured search — reduces effective key length by half. -- USE IN: Methodology 3.3, as primary citation when assigning QF=1.2 to hash functions and symmetric ciphers. Exact text: 'QF=1.2 is assigned to hash and symmetric primitives weakened by Grover's algorithm [Grover 1996], which provides quadratic speedup for unstructured search, effectively halving the security level of AES-128 and SHA-256.'"
18,Quantum Cryptography Fundamentals,"Bernstein, D.J.; Lange, T.",2017,Post-Quantum Cryptography,Nature,549,188-194,10.1038/nature23461,https://www.nature.com/articles/nature23461,Introduction (paragraph 1); Related Work 2.1,"p.188: 'The transition to quantum-resistant cryptography is urgent: once sufficiently powerful quantum computers exist, all public-key systems currently in use will be broken, including those used to protect internet communications, financial transactions, and government data.' -- USE IN: Introduction paragraph 1, as authoritative high-impact reference for the quantum threat. | p.190: 'Lattice-based cryptosystems offer strong candidates for post-quantum security.' -- USE IN: Related Work 2.1, brief mention when discussing NIST candidates."
19,Data Sources,NIST,2024,National Vulnerability Database — CVE API 2.0,NIST NVD,,,,https://nvd.nist.gov/developers/vulnerabilities,Methodology 3.1 (Dataset); Data Availability Statement,"Documentation: 'The NVD is the U.S. government repository of standards-based vulnerability '  -- USE IN: Methodology 3.1 opening sentence, e.g., 'We extracted vulnerability records from NVD '  annual JSON feeds (API format 2.0) [19], the US government standard repository for CVE data.' | API spec: 'Each record includes CVE identifier, publication date, description, CVSS metrics, '  -- USE IN: Methodology 3.2, when describing which fields were used for QF and HS classification."
20,Data Sources,CISA,2024,Known Exploited Vulnerabilities Catalog,CISA,,,,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,Methodology 3.1 (Dataset); H2 Results; Discussion 5.2 (Limitations); Data Availability,"Catalog description: 'CISA maintains the authoritative source of vulnerabilities that have been '  -- USE IN: Methodology 3.1, sentence: 'We cross-referenced all CVEs against the CISA Known Exploited Vulnerabilities catalogue [20], the authoritative US government record of vulnerabilities '  confirmed as exploited in the wild (n=1,558 at time of access).' | Methodology note: KEV captures exploits reported to US authorities — may under-represent nation-state HNDL operations. -- USE IN: Discussion 5.2 (Limitations), as the second limitation of your study."
